Time,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11
640,15188,24733,15340,24926,14676,14459,15547,15479,15495,14967,15290,24525,15130,25231,14415,14160,15496,15373,15088,14941,15427,26258,15321,25524,14578,14270,15375,15625,15132,15128,15037,25321,15260,24950,14128,13801,15382,15540,15446,15333,15095,24570,15049,25207,14035,14327,15173,14885,15197,15272,14832,24682,15088,25049,14168,13930,15279,14936,14809,15181
650,15084,24810,15260,24908,14720,14442,15339,15538,15540,15360,15275,24662,15275,25350,14664,14132,15627,15555,15587,14916,15215,26653,15141,25578,14439,14438,15740,15738,15502,15245,14968,25843,15230,24741,14029,13882,15525,15772,15308,15478,15376,24474,14949,25495,13855,14133,15348,15196,15040,14895,15047,25055,14911,25281,14347,13963,15564,15150,15029,14930
660,15400,24636,15371,25061,14099,14320,15487,15480,15353,14955,15398,25086,15233,25407,14614,14027,15681,15360,15446,15280,15214,26671,14987,25795,14654,14100,15582,15553,15369,15348,15187,25867,15187,24514,14088,13962,15363,15778,15185,15380,14961,24656,15041,25537,13941,14198,15244,14937,15323,15105,14998,25043,15126,25510,14419,14003,15144,15261,14980,15032
670,15319,24889,15407,25406,14269,14373,15337,15416,15154,15283,15273,24516,15243,25414,14651,14110,15628,15601,15093,15284,15296,26777,15212,25444,14655,14390,15549,15600,15273,15263,14959,25885,14916,24681,14212,14069,15507,15623,15429,15296,15115,24424,14875,25553,14031,13957,15068,15207,15418,15016,14769,24832,15187,25413,14225,13999,15052,15229,14801,15246
680,15337,25178,15210,25570,14485,14543,15248,15465,15070,15300,15158,24654,15154,25870,14736,14415,15674,15495,15457,15345,15582,26896,15428,25417,14552,14238,15513,15548,15315,15058,15267,25839,15254,24633,14123,13776,15341,15537,15202,15284,15065,24693,15226,25410,13810,14425,14980,14933,15003,15001,15044,25115,15356,25569,14337,14082,15110,15170,14855,15130
690,15072,24795,15430,25578,14587,14207,15412,15354,15141,15104,15494,24997,15396,25674,14592,14127,15591,15155,15309,15245,15554,26826,15040,25538,14560,14271,15520,15853,15209,15190,15171,25675,15119,24717,14310,14071,15397,15512,15118,15370,15224,25110,14953,25296,13851,14049,15324,15016,15181,15043,15049,25209,14931,25323,14159,13900,15291,14874,14902,15067
700,15213,24672,15451,25179,14464,14476,15374,15540,15250,15174,15496,24755,15207,25311,14548,14181,15508,15550,15296,15128,15539,26723,15033,25472,14673,14537,15490,15468,14943,15253,14941,25221,15193,24709,14259,13987,15468,15378,15609,15047,15050,24714,15018,25214,13970,14077,15148,15121,14967,14770,15000,24983,15230,25208,13979,14013,15149,15353,14880,14987
710,15362,24987,15239,25425,14361,14613,15501,15549,15304,15297,15168,24538,15326,25230,14540,14121,15608,15849,15256,15535,15371,26553,15224,25474,14402,14355,15417,15633,15325,15084,15302,25474,15215,25033,14457,14010,15550,15547,15186,15361,15044,24624,15091,25137,13949,14245,15017,15093,15314,15071,14821,25143,15124,25553,14199,14152,15000,15278,15193,15161
720,15278,24752,15243,25251,14451,14422,15611,15606,15343,15117,15395,24734,15292,25298,14676,13961,15789,15479,15354,15117,15123,26810,15249,25604,14499,14277,15437,15836,15016,15167,15068,25624,14882,24753,14408,13906,15037,15457,15269,15081,15056,24916,15045,25189,14082,14080,15304,15158,15112,15271,14944,24783,15037,25700,14283,13880,15333,15065,15091,15072
730,15061,24361,15686,25117,14255,14345,15418,15332,15215,15149,15311,24468,15044,25061,14326,14581,15530,15222,15126,15229,15344,26476,15086,25193,14457,14045,15577,15412,15674,14883,15037,25279,15219,24710,14308,14110,15365,15614,15257,15280,15194,24271,15125,25440,14093,13984,15555,15230,15097,14905,15103,24666,14892,25118,14002,14128,14715,15092,14958,15085
740,15323,24666,15291,25486,14272,14516,15401,15355,15178,15219,15434,24459,15225,25198,14429,14233,15491,15299,15288,15228,15293,26621,15227,25633,14696,14093,15833,15294,15313,15178,15032,25552,15050,25107,14078,13674,15433,15537,15255,15147,15171,24473,14966,25064,14118,14236,15291,15076,15138,14950,14606,25256,15250,25412,14025,14013,15292,15215,15277,14825
750,15210,24682,15155,25008,14406,14342,15566,15344,15332,15067,15249,24304,15187,24686,14505,14322,15784,15454,15468,15282,15453,26397,15439,25317,14701,14561,15569,15596,15299,15317,14938,25747,15005,24551,14440,13996,15545,15469,15214,15107,15379,24492,14825,24955,13985,14267,15475,15167,15424,14930,14932,24962,14872,24872,14263,13905,15390,15150,14799,14940
760,15148,24469,15407,25586,14359,14275,15761,15434,15240,15451,15452,24721,15107,25102,14565,14161,15566,15634,15145,15264,15639,26806,15260,25378,14781,14474,15150,15652,15304,15122,14991,25703,14964,24716,14308,14043,15425,15642,15250,15268,15287,24302,15240,25065,14132,14119,15243,15117,15269,15072,15030,24738,15345,25511,14336,14115,14958,14764,15084,15157
770,15097,24548,15343,25283,14506,14348,15428,15743,15155,15037,15174,24748,15134,24888,14492,14096,15625,15655,15340,15407,15391,26848,15244,25070,14583,14451,15457,15825,15630,15180,15093,25671,15132,24427,14239,14047,15255,15490,15526,15162,15090,24529,15368,25067,14090,13996,15077,14865,14861,15058,14822,25012,15261,25162,14330,14019,15135,15074,14885,15086
780,15254,24813,15308,24959,14505,14529,15373,15443,15248,15159,15390,24462,15261,25126,14532,14151,15534,15254,14909,15122,15062,26633,15339,25561,14456,14341,15421,15375,14966,15166,15279,25763,14966,24594,14571,14231,15359,15534,15408,15312,15042,24515,15027,25040,13777,14271,15556,15011,15022,14927,14869,25037,14875,25460,13969,14236,15279,15302,15033,15068
790,15126,24507,15395,25090,14471,14342,15470,15539,15271,15246,15303,24526,15309,25078,14474,14138,15633,15547,15426,15238,15347,26876,15170,25599,14662,14425,15468,15481,15080,15195,15275,25352,15216,24781,14554,14099,15248,15460,15149,15340,15196,24080,14854,25119,13923,14225,15333,15164,15440,15071,14928,24693,15025,25570,14273,13780,15107,15268,14740,15183
800,15106,24645,15289,25408,14537,14511,15510,15655,15047,15202,15400,24675,15257,25189,14436,14277,15913,15409,15139,15184,15612,26739,15204,25537,14582,14400,15295,15201,15530,15375,15089,25639,15096,24588,14178,13958,15396,15422,15037,15472,15157,24278,15100,25368,13966,14087,15092,15040,15116,15092,15004,25059,15061,25505,14212,13891,15030,15318,15120,14947
810,14972,24713,15246,24896,14315,14434,15488,15610,15468,15148,15414,24513,15329,24876,14498,14038,15724,15310,15432,15135,15508,26611,15396,25421,14450,14322,15587,15434,15299,15000,15003,25486,15103,24527,14211,14002,15245,15717,15211,15188,14775,24239,15099,24573,13969,14138,15418,15120,15225,14948,15130,24625,14946,25249,14161,13909,15134,15155,14846,14999
820,15259,24501,14905,25168,14326,14348,15379,15861,15386,15175,15464,24261,15380,24922,14469,14287,15613,15414,15304,15371,15235,26558,14954,25643,14446,14355,15319,15550,15256,15346,15318,25307,15172,24415,14313,14088,15326,15450,15013,15316,15168,24210,15113,24746,14041,14128,15190,14962,15126,14755,14960,24832,15065,25065,14198,13815,15117,15207,14921,15140
830,15095,24422,15353,25075,14279,14617,15260,15431,15325,15156,15289,24404,15376,25164,14661,14103,15615,15397,15041,15237,15561,26588,15280,25628,14781,14191,15444,15688,15364,15261,15121,25664,15196,24322,14300,13845,15405,15710,15170,15254,14996,23952,14882,24976,14079,14282,15335,15157,15309,15131,14820,24433,15088,25231,14148,14027,15215,15136,14817,15118
840,15011,24431,15065,24968,14467,14353,15462,15792,15391,15432,15198,24307,15181,25016,14472,13882,15770,15532,15409,15566,15397,26604,15091,25147,14270,14440,15539,15460,15318,15228,15005,25371,15330,24171,14523,14066,15042,15281,15147,15162,15157,24121,14948,24792,13923,14267,15147,15046,15395,14983,14886,24768,14782,25188,13928,14207,15256,15270,15219,15032
850,15220,24676,15477,25196,14401,14390,15340,15246,15152,14994,15281,24330,15014,24724,14382,14269,15522,15443,15443,15167,15281,26630,15102,24999,14614,14391,15292,15511,15377,14984,15019,25363,14764,24134,14341,14102,15544,15524,15268,15067,15248,23981,14985,24883,14047,14222,15380,15201,15287,15030,14801,24364,14957,24930,14164,13876,15241,15196,14881,14951
860,15266,24554,15389,25337,14422,14235,15364,15525,15520,15124,15013,24448,15436,25177,14492,14002,15695,15405,15278,15151,15281,26860,15115,25464,14482,14214,15456,15627,15591,15286,14918,25834,14988,24255,14300,13882,15164,15588,14932,15165,15255,24268,15028,24925,13950,14113,15338,14870,15120,15046,14668,24800,15184,25173,14327,13934,15048,15328,14741,15353
870,15225,24523,15464,24970,14360,14379,15353,15470,15386,15269,15438,24084,15259,25046,14426,14324,15592,15559,15298,15484,15290,27025,14962,25673,14586,14353,15382,15702,15516,15037,15257,25907,14977,24694,14352,14171,15436,15645,15220,15086,15095,24426,15212,25110,14124,14195,15014,15026,15365,15148,14716,24765,15008,25570,14156,13994,15516,14804,14904,14859
880,15298,24431,15317,25253,14369,14427,15493,15413,15278,15011,15447,24533,15354,25561,14533,14301,15376,15457,15115,15188,15317,26878,15175,25741,14166,13939,15399,15572,15233,15237,14937,25578,15141,24679,14180,14071,15391,15730,15164,15176,15188,24390,15075,25264,14005,14090,15258,14970,15008,15104,14873,24894,15228,25360,14170,13993,15179,15146,14815,14828
890,15171,25130,15237,25167,14431,14350,15467,15686,15196,15371,15533,24340,15233,25385,14603,14048,15647,15600,15424,15378,15536,27006,15561,25908,14404,14279,15878,15643,15277,15156,14995,25617,15089,24479,14346,14019,15553,15815,15364,15461,15073,24467,15053,25223,13989,14154,15365,15250,15262,14898,15132,24753,15113,25722,14133,13860,15127,15311,14933,15062
900,15429,24713,15038,25423,14320,14350,15557,15564,15275,15075,15254,24550,15374,25436,14398,14257,15400,15818,15154,15439,15222,27144,15034,26069,14435,14413,15449,15516,15752,15158,15104,26141,15259,24799,14334,14033,15425,15520,15597,15284,15256,24587,15387,25463,14126,14223,15431,15020,15286,15005,14945,25143,15093,25551,14209,14009,15376,15178,15100,15001
910,15077,24406,15423,25022,14568,14186,15186,15406,15371,15130,15447,24457,15300,25219,14714,13972,15629,15399,15413,15216,15375,26553,15289,25750,14833,14377,15443,15804,15180,15122,15238,25542,14928,24601,14410,13981,15206,15499,15450,14961,15300,24246,15184,24907,14097,14129,15297,14991,15361,15139,15083,24831,15022,25238,14127,13944,15064,15296,15029,14967
920,15405,24542,15334,25263,14409,14242,15396,15370,15175,15282,15493,24542,15329,25010,14428,14112,15600,15419,15323,15189,15248,26684,15239,25363,14472,14309,15355,15436,15133,15374,15368,25445,15135,24270,14374,13977,15421,15450,15467,15147,15057,23944,15113,24862,13841,14228,15254,15014,15192,14943,14771,24696,15105,25453,14156,14131,15298,14813,14930,15052
930,15453,24948,15588,25079,14577,14226,15545,15130,15289,15043,15513,24588,15332,25053,14578,14067,15641,15625,15126,15309,15480,26809,15353,25727,14439,14333,15410,15590,15421,15395,15264,25954,15141,24556,14256,13784,15293,15468,15252,15135,15137,24691,15114,25107,13999,14055,15376,15120,15248,15002,14919,24776,15102,25753,14224,13933,15131,14966,15023,14832
940,15354,24763,15159,25261,14532,14145,15387,15694,15318,15214,15642,24167,15480,25162,14435,14041,15439,15531,15300,15483,15257,26873,15134,25816,14418,14461,15626,15534,15348,15262,15307,25871,15140,24486,14292,14077,15530,15562,15467,15016,15008,24586,14957,25117,13882,14179,15356,15097,15197,15156,15018,25068,15106,25445,14122,13918,15206,15086,14890,15087
950,15297,24662,15310,25088,14332,14418,15794,15477,15341,15067,15687,24479,15251,25019,14342,14024,15630,15678,15065,15108,15531,26645,15281,25189,14415,14250,15501,15560,15422,15444,15156,25802,14984,24585,14291,13968,15472,15697,15445,15093,15061,24280,15232,24996,14065,14353,15206,14962,15389,14902,14890,24742,15107,25165,14239,14112,15124,14784,14855,15244
960,15281,24620,15403,25545,14429,14181,15485,15638,15108,15331,15365,24545,15356,25169,14473,14112,15737,15446,15205,15122,15367,27168,15092,25719,14545,14189,15551,15516,15385,15321,15156,25843,15222,24616,14205,13927,15382,15824,15499,15088,15417,24191,15023,25122,14082,14059,15282,15240,15316,14927,15055,24614,15058,25251,14173,13903,15170,14989,14940,14899
970,15395,24422,15316,24896,14431,14202,15541,15671,15430,15306,15713,24194,15084,25035,14396,14042,15726,15292,15160,15528,15258,27056,14981,25318,14455,14435,15352,15617,15398,15151,15133,25890,15027,24164,14242,13914,15448,15657,15024,15088,15164,24275,15138,24642,14091,14054,15173,15069,15157,15070,15055,24236,15185,25004,14189,13993,15187,15059,15128,15240
980,15205,24459,15270,25549,14131,14539,15084,15593,15206,15018,15245,24639,15235,24872,14465,14268,15843,15681,15171,15212,15378,27143,15403,25568,14417,14187,15427,15593,15496,15343,15172,25809,15214,24473,14299,13755,15542,15395,15065,15361,15342,23994,15227,25115,14221,14341,14989,15342,15276,15081,14823,24834,15126,25286,13912,13990,15098,15226,14815,15038
990,15293,24492,15718,24854,14349,14321,15492,15614,15215,15259,15267,24102,15321,24959,14561,14395,15611,15553,15261,15232,15354,27005,15395,25340,14640,14163,15268,15645,15162,15228,15101,25380,15355,24096,14205,13978,15410,15614,15428,15094,15257,24155,15358,25047,13914,14234,15164,14829,15037,15093,14938,24653,14900,25175,14111,14100,15219,15267,15008,15079
1000,15148,24344,15018,25057,14446,14602,15537,15309,15061,15210,15416,24440,15485,25187,14528,14226,15507,15086,15260,15409,15009,27157,15180,25545,14536,14446,15533,15634,15076,15178,15191,25742,15095,24372,14432,14003,15569,15638,15310,15148,15118,24090,15165,24606,14223,14076,15044,15115,15101,14976,15027,24433,15224,25239,14061,13966,15071,14846,14758,15141
1010,14939,24583,15451,25325,14469,14380,15599,15643,15060,15247,15492,24612,15261,25365,14297,13871,15514,15297,15358,15127,15472,27053,15164,25637,14680,14372,15386,15615,15283,15189,15327,26031,14812,24268,14188,13840,15310,15620,15179,15107,15223,23811,15028,24957,14277,14120,15086,15162,15138,14941,14974,24678,15156,25388,14293,13937,15317,15058,15019,14939
1020,15137,24679,15341,25504,14327,14345,15382,15314,15085,15303,15541,24558,15284,25311,14293,14006,15546,15391,15191,15266,15331,27096,15377,25724,14449,14267,15580,15724,15293,15111,15326,26067,15181,24359,14327,13864,15432,15659,15395,15169,15084,24046,15103,24914,13999,14184,15121,15046,15174,15019,14925,24477,15178,25660,14335,13815,15080,15052,15031,15076
1030,15195,24764,15329,25201,14473,14346,15249,15531,15231,15371,15173,24495,15497,25193,14423,14244,15770,15432,15259,15071,15311,27243,15038,25674,14356,14163,15290,15758,15350,15194,14936,26170,15131,24651,14242,13773,15275,15432,15568,15278,15049,24375,15074,25063,14068,14121,15137,15041,15284,14960,14889,24982,15034,25718,14343,13723,15119,14904,14901,14933
1040,15337,24443,15142,25278,14330,14146,15669,15442,15427,15123,15469,24332,15260,25352,14452,14120,15638,15549,15031,15382,15727,26980,15209,25785,14461,14241,15561,15730,15283,15207,14814,25542,15375,24705,14048,13793,15416,15527,15487,15291,15032,24325,15061,24887,13940,14094,15510,14846,15159,15054,15065,24846,15245,25383,14124,14101,15138,14830,14847,15124
1050,15382,24831,15383,25790,14134,14329,15481,15335,15405,15252,15384,24723,15586,25431,14596,14245,15574,15377,15035,15259,15404,27036,15281,25877,14474,14333,15458,15670,15437,15348,15253,26058,15150,24540,14061,13893,15207,15620,15510,15467,14963,24065,15042,25059,14026,13940,15340,14965,15471,14975,14826,24857,15148,25857,14044,14055,15041,15165,15015,14868
1060,15189,25144,15294,25096,14154,14527,15278,15391,15250,15231,15429,24540,15431,25210,14561,13950,15687,15746,14981,15227,15479,26938,15341,25820,14554,14087,15480,15516,15383,15093,15173,25873,15003,24460,14222,14116,15295,15465,15440,15130,15164,24292,15230,24926,13805,14005,15246,14931,15228,14877,14884,25024,14996,25743,13882,14086,14964,15019,14902,15027
1070,15134,24466,15486,25141,14459,14181,15629,15295,15301,15215,15145,24866,15241,25218,14410,14013,15551,15537,15359,15233,15572,26987,15225,25711,14567,14324,15288,15690,15183,15317,15206,25831,15148,24446,14003,13717,15401,15603,15286,14947,15018,24242,15269,24813,13888,14033,15278,15185,15115,15140,14778,24921,15241,25738,14102,14136,15064,15130,14758,15122
1080,15214,24667,15286,25449,14312,14226,15212,15264,15086,15053,15268,24403,15184,25133,14252,14125,15620,15371,15278,15260,15282,27178,15184,26101,14490,14189,15556,15760,15253,15145,14926,25954,15319,24586,14240,13950,15381,15519,15435,15103,15110,24228,15018,25422,13925,13947,15350,15275,14884,14999,14870,24881,14973,25776,14038,13927,15280,15098,15057,15042
1090,15399,24957,15617,25623,14538,14379,15826,15535,15235,15338,15264,24481,15291,25407,14546,14063,15437,15365,15235,15438,15415,27062,15467,26340,14417,14313,15538,15722,15282,15304,15313,26034,15108,24574,14317,14111,15549,15706,15192,15299,15093,24528,15239,24914,14087,14129,15427,15007,15257,14933,15037,24790,15176,25376,13963,14193,15082,15186,15072,14934
1100,15338,24621,15121,25501,14477,14301,15509,15680,15221,15181,15078,24614,15243,25148,14247,14197,15403,15669,15389,15028,15178,26803,15097,25845,14397,14239,15705,15501,15249,15188,15014,26673,15308,24478,14216,13919,15438,15594,15276,15422,15083,24456,15398,25251,13983,14140,15418,15082,15433,14844,15021,24977,14845,25650,14041,13702,15297,15106,14976,15103
1110,15050,24582,15401,25057,14624,14310,15478,15356,15316,15176,15398,24517,15447,25625,14397,14130,15573,15454,15102,15420,15227,27400,15440,26141,14482,14208,15663,15539,15151,15211,15443,25946,15026,24457,14235,13606,15165,15673,15258,15291,15342,24033,15009,25074,13970,14159,15043,14937,15234,15199,14992,25096,15009,25780,14172,13714,15113,14949,14979,15313
1120,15418,24438,15327,25596,14556,14409,15659,15649,15175,15001,15273,24579,15221,25296,14250,14009,15659,15519,15097,15342,15448,26951,15269,25887,14546,14066,15491,15737,15312,15359,15185,26399,15260,24730,14249,13905,15663,15715,15552,15189,15133,24498,15175,25247,13907,14005,15307,15232,15141,15092,15203,25018,15026,25638,13931,13965,15213,15324,14992,15232
1130,15488,24531,15507,25617,14144,14260,15608,15516,15074,14961,15390,24544,15297,25309,14648,14069,15273,15351,15278,15104,15319,27170,15197,25826,14495,14456,15321,15651,15120,15123,14909,26111,15183,24652,14353,13785,15349,15534,15337,15334,15061,24259,14987,25102,14085,13986,15373,15242,14907,15128,14802,24899,15140,25917,13945,14027,15232,15136,14926,15103
1140,15115,25081,15698,25530,14221,14146,15494,15536,15296,15121,15573,24909,15225,25611,14341,14054,15544,15220,15309,15270,15348,27151,15151,25926,14509,14201,15583,15636,15414,15011,15070,25961,15295,24458,14331,13934,15441,15730,15516,15163,15077,24569,15114,25105,13861,14091,15258,15216,15426,14868,15017,24897,14823,25921,14348,13941,15304,15256,15053,15095
1150,15247,24656,15343,25340,14182,14588,15532,15456,15315,15238,15548,24684,15334,24999,14227,14047,15691,15324,15256,15212,15278,26962,15296,25659,14557,14359,15321,15610,15325,15306,15062,25794,15103,24245,14075,13850,15621,15428,15472,15146,15272,23755,15189,25055,14033,13987,15205,15215,15428,14784,14995,24548,15073,25224,13959,13882,15159,15054,15002,15033
1160,15247,24705,15423,25452,14488,14306,15393,15342,15467,15131,15265,24372,15093,25322,14522,14075,15653,15299,15141,15236,15635,26802,15199,25531,14502,14155,15303,15628,15448,15047,15214,25853,15112,24652,14169,13942,15358,15589,15473,15374,14996,24162,15136,24983,13956,14072,15426,15307,15128,14977,14934,24921,15076,25726,14111,13824,15291,15090,14888,15069
1170,15120,24794,15186,25405,14311,14343,15690,15380,15313,15114,15574,24455,15365,25058,14425,14155,15619,15241,14999,15302,15291,27292,15105,25926,14336,14162,15264,15741,15149,15009,15217,26156,15131,24610,14049,13817,15026,15476,15295,15226,15067,24261,14894,25027,13711,14051,15127,15351,15101,14859,14936,24828,15199,25590,13982,13764,15138,15239,14788,14953
1180,15487,24540,15281,25179,14391,14526,15640,15484,15364,15385,15354,24558,15327,25623,14272,13917,15465,15473,15097,15215,15367,27073,15048,25468,14249,14481,15227,15226,15283,15515,15209,25861,14878,24385,14270,13673,15286,15696,15369,15259,15284,23995,15000,25087,13979,14157,15588,15289,15337,14830,14899,24861,15507,25888,14113,13744,15384,15098,15160,15150
1190,15011,24309,15419,25572,14586,14466,15618,15590,15413,15319,15307,24310,15379,25176,14414,13804,15568,15366,15167,15190,15411,26990,15406,25955,14276,14145,15736,15407,15422,15178,15026,25591,15067,24614,14115,13844,15337,15658,15168,15169,15216,24023,15255,24956,13931,14059,15324,15380,15303,15146,14883,24709,14939,25537,14162,13939,15251,14953,15052,15209
1200,15024,24567,15309,25358,14395,14465,15501,15184,15217,15207,15444,24330,15491,25012,14578,13845,15656,15587,15241,15294,15299,26916,15241,25507,14548,14132,15611,15485,15060,15228,14882,25728,15073,23866,14004,13808,15597,15644,15329,15374,15132,23883,15294,24680,13971,14047,15115,14959,15187,14882,15081,24433,15029,25162,14215,14022,15441,15350,14762,14995
1210,15277,24267,15335,25045,14274,14264,15367,15582,15436,15303,15388,24502,15412,24851,14751,14043,15493,15470,15262,15317,15443,26762,14991,25642,14640,14268,15478,15464,15360,15158,15173,25760,15042,24100,14104,13807,15354,15607,15433,15220,15320,24058,15329,24760,13822,13977,15386,15099,15127,14955,15091,24520,14992,25368,14156,13728,15080,15327,14831,14968
1220,15136,24742,15641,25181,14144,14322,15165,15173,15317,15216,15377,24255,15425,25057,14300,14016,15470,15310,15081,15204,15351,26805,15171,25580,14343,14240,15751,15681,15337,15098,15164,25716,15083,24334,13863,14064,15440,15789,15353,15141,15097,24176,14980,24757,14058,14154,15244,15244,15241,15124,15222,24648,15300,25305,14147,13882,15461,15347,15059,14991
1230,15310,24549,15450,25536,14294,14281,15366,15735,15301,15503,15278,24192,15160,25379,14311,14162,15589,15233,15120,15217,15313,27251,15307,25658,14210,13957,15353,15580,15282,15276,15022,26162,15132,24423,14349,14049,15604,15445,15311,15409,15209,24124,15150,24853,14108,14237,15287,14933,15112,15190,15049,24380,15185,25126,14198,13875,15075,15168,15026,15145
1240,15368,24708,15381,25247,14485,14403,15332,15439,15215,15337,15282,24357,15485,25231,14417,14197,15385,15383,15402,15495,15325,26964,15195,25607,14537,14180,15691,15408,15320,15237,15418,25926,15147,24308,14096,13994,15412,15633,15316,15500,15351,23899,15084,24836,13907,13986,15257,15042,15147,14978,15165,24615,15219,25307,14134,13755,15274,15232,14862,15071
1250,15260,24779,15377,25328,14522,14489,15547,15508,15477,15244,15436,24446,15166,25273,14599,14109,15625,15353,15114,15174,15228,27588,15043,25914,14420,14370,15471,15940,15412,15309,15127,26261,15382,24590,14379,14004,15211,15395,15203,15288,15078,24139,14994,24801,13910,14160,15213,15010,15286,15225,15103,24739,14843,25874,13959,13846,15283,15189,15057,15211
1260,15135,24596,15225,25191,14467,14537,15413,15695,15184,15145,15236,24645,15469,25371,14286,14109,15366,15579,14954,15441,15364,26916,15087,25759,14553,14233,15513,15664,15504,15137,14920,25863,15117,24357,14239,13901,15378,15800,15183,15310,15415,24071,15042,25075,13912,13840,15261,14884,15257,15081,14767,24656,14972,25621,14176,13939,15253,15254,14866,15038
1270,15377,24636,15412,25295,14398,14582,15456,15669,15140,15182,15391,24463,15198,25231,14269,14085,15561,15341,15263,15304,15298,27447,15321,26271,14390,14323,15411,15775,15379,15172,14866,26154,15110,24985,14400,13875,15275,15660,15338,15481,15313,24199,14948,25017,14107,13991,15179,15073,15314,15077,14609,24517,15158,25770,14175,13868,15316,15127,14973,14882
1280,15228,24383,15329,25216,14265,14745,15384,15249,15368,15194,15126,23793,15309,25050,14550,14103,15604,15600,15002,15330,15252,26731,15117,25745,14312,14152,15364,15810,15474,15299,15128,25807,14801,23994,14103,13780,15458,15446,15221,15388,15117,23952,15063,24680,13758,13976,15199,15065,15212,15290,14889,24250,15113,25351,14087,13822,15219,15106,14975,15124
1290,15205,24445,15407,25293,14099,14703,15597,15522,15331,15491,15355,24626,15304,25244,14297,14035,15663,15596,15228,15150,15416,27537,14892,25678,14554,14185,15600,15691,15619,15045,14876,26337,15295,24454,14462,13945,15347,15656,15456,14977,15337,23687,15216,24938,13895,14049,15370,14943,15303,15093,14715,24585,15307,25601,14154,14066,15330,15141,15071,15011