24-12-20 16-04-02 mCherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D11,14908,14479,14559,14356,14273,14144,14120,14284,14073,14133,14120,14586,14275,14266,14227,14424,14110,14601,14275,14595,14780,14425,14674,14479,14562,14734,14789,14558,14833,14798,14981,15048,15069,15365,15089,15173,15260,15217,15048,15280,14952,15134,15162,15075,15107,15431,15469,15178,15166,15205,15202,15389,15318,15205,15176,15336,15315,15189,15479,15019,15218,15392,15307,15141,15128,15245,15348,15263,15058,15190,15253,15084,15167,14883,15178,15317,15122,15180,15166,15195,15375,15000,15346,15261,15228,14984,15286,15037,15237,15156,15158,15122,15374,15395,15262,15444,15321,15151,15343,15228,15178,15189,15111,15194,15207,15348,15093,15317,15145,15304,15188,15211,15359,15123,15011,15306,15047,15009,15515,15178,15228,15158,15098,15276,15237,15309,15137,15172,15299,15045,
E02,14818,14460,14435,14315,14122,14167,14157,14099,13918,14205,14160,14014,14168,14163,14053,14017,14089,14245,14070,14115,14161,14040,14116,14305,14248,14181,14261,14270,14266,14232,14503,14300,14606,14322,14762,14743,14619,14820,14923,14917,14808,14937,14950,15054,14890,14913,15123,15178,15311,15208,15150,14988,15090,15097,15098,15163,15052,15063,15136,14974,14939,15301,14888,15071,15037,14968,15187,14959,15267,15171,14941,15302,15068,15037,15032,14938,14991,15093,15279,15275,15089,15003,15318,15121,15005,15019,14918,15257,14937,14995,15104,15238,15368,15264,15307,15156,15156,15133,15172,15101,15191,15327,15326,14936,14814,15253,15173,15206,14926,15313,15014,15443,15185,14909,15070,15062,15214,15217,15209,15026,14882,15173,15164,15022,15418,15127,14920,14866,15128,14876,
E03,15011,14631,14328,14363,14342,14131,14059,14210,14389,14118,14348,14405,14487,14847,14432,14621,14812,14773,15223,15117,15449,15724,15808,16233,16012,16376,16724,16791,17264,17393,17566,17893,18042,18713,18991,19240,19552,20014,20619,20532,20593,21010,21628,21966,23403,24309,26478,27313,28426,27297,24339,24151,24684,24720,24834,25096,25030,25207,25156,25334,25069,25727,25532,25413,25321,25843,25867,25885,25839,25675,25221,25474,25624,25279,25552,25747,25703,25671,25763,25352,25639,25486,25307,25664,25371,25363,25834,25907,25578,25617,26141,25542,25445,25954,25871,25802,25843,25890,25809,25380,25742,26031,26067,26170,25542,26058,25873,25831,25954,26034,26673,25946,26399,26111,25961,25794,25853,26156,25861,25591,25728,25760,25716,26162,25926,26261,25863,26154,25807,26337,
E04,14909,14665,14304,14365,14232,14036,14081,14167,13970,14301,14056,14210,14284,14328,14090,14318,14132,14171,14189,14288,14372,14520,14353,14450,14513,14628,14707,14943,14939,14902,14968,15207,14975,15187,15133,15156,15137,14999,15362,15098,14805,15204,15034,15166,15175,14984,15130,15221,15083,15189,15122,15108,15021,15034,15081,14988,15093,15119,15229,15146,15175,15082,15082,15024,15260,15230,15187,14916,15254,15119,15193,15215,14882,15219,15050,15005,14964,15132,14966,15216,15096,15103,15172,15196,15330,14764,14988,14977,15141,15089,15259,14928,15135,15141,15140,14984,15222,15027,15214,15355,15095,14812,15181,15131,15375,15150,15003,15148,15319,15108,15308,15026,15260,15183,15295,15103,15112,15131,14878,15067,15073,15042,15083,15132,15147,15382,15117,15110,14801,15295,
E05,15116,14867,14442,14718,14332,14494,14400,14356,14209,14190,14400,14661,14467,14524,14359,14534,14501,14543,14765,14743,15213,15232,15483,15427,16026,16025,16232,16575,17134,18275,19290,20149,21046,22344,23438,24574,26175,24512,22580,22877,22798,23065,23413,23651,23558,23997,23963,24094,24291,24316,24607,24518,24541,24651,24570,24766,24555,24722,24868,24898,24817,24732,24602,24783,24950,24741,24514,24681,24633,24717,24709,25033,24753,24710,25107,24551,24716,24427,24594,24781,24588,24527,24415,24322,24171,24134,24255,24694,24679,24479,24799,24601,24270,24556,24486,24585,24616,24164,24473,24096,24372,24268,24359,24651,24705,24540,24460,24446,24586,24574,24478,24457,24730,24652,24458,24245,24652,24610,24385,24614,23866,24100,24334,24423,24308,24590,24357,24985,23994,24454,
E06,15273,15065,15105,14898,14614,14468,14463,14505,14368,14404,14250,14481,14720,14688,14502,14673,14646,14547,14430,14397,14318,14246,14413,14501,14545,14712,14366,14549,14588,14513,14160,14663,14489,14468,14338,14512,14428,14505,14529,14549,14127,14289,14031,14495,14104,14256,14500,14188,14493,14541,14402,14373,14357,14249,14429,14585,14300,14576,14465,14319,14364,14426,14291,14381,14128,14029,14088,14212,14123,14310,14259,14457,14408,14308,14078,14440,14308,14239,14571,14554,14178,14211,14313,14300,14523,14341,14300,14352,14180,14346,14334,14410,14374,14256,14292,14291,14205,14242,14299,14205,14432,14188,14327,14242,14048,14061,14222,14003,14240,14317,14216,14235,14249,14353,14331,14075,14169,14049,14270,14115,14004,14104,13863,14349,14096,14379,14239,14400,14103,14462,
E07,15229,14981,14382,14434,14299,14289,14379,14415,14196,13999,14297,14172,14438,14151,14199,14162,14188,14320,14350,14295,14154,14285,14216,14375,14350,14220,14246,13986,14023,14155,14150,14209,14123,14295,14075,14111,13931,14125,14106,14112,14197,14099,14035,14048,13881,14162,14152,13861,14200,14140,14119,14067,14100,14023,13993,14210,13969,13984,14225,14054,13873,13857,14086,14170,13801,13882,13962,14069,13776,14071,13987,14010,13906,14110,13674,13996,14043,14047,14231,14099,13958,14002,14088,13845,14066,14102,13882,14171,14071,14019,14033,13981,13977,13784,14077,13968,13927,13914,13755,13978,14003,13840,13864,13773,13793,13893,14116,13717,13950,14111,13919,13606,13905,13785,13934,13850,13942,13817,13673,13844,13808,13807,14064,14049,13994,14004,13901,13875,13780,13945,
E08,14935,14694,14192,14481,14408,14408,14372,14493,14469,14542,14263,14491,14342,14384,14333,14388,14593,14342,14411,14419,14334,14663,14606,14656,14540,14704,14765,14594,14899,14712,14727,14941,14959,14975,14783,14951,14996,15157,15053,14919,15073,15368,15289,15118,15194,15394,15370,15189,15315,15419,15316,15257,15241,15406,15276,15186,15168,15502,15368,15397,15220,15211,15252,15471,15382,15525,15363,15507,15341,15397,15468,15550,15037,15365,15433,15545,15425,15255,15359,15248,15396,15245,15326,15405,15042,15544,15164,15436,15391,15553,15425,15206,15421,15293,15530,15472,15382,15448,15542,15410,15569,15310,15432,15275,15416,15207,15295,15401,15381,15549,15438,15165,15663,15349,15441,15621,15358,15026,15286,15337,15597,15354,15440,15604,15412,15211,15378,15275,15458,15347,
E09,14948,14885,14843,14409,14420,14531,14402,14336,14406,14527,14460,14481,14527,14673,14595,14638,14575,14587,14783,14568,14507,14688,14616,14718,14796,14683,14774,14606,14874,14671,15103,15015,14771,15113,15218,15136,15432,15187,15336,15304,15244,15311,15347,15570,15465,15913,15679,15660,15645,15364,15458,15770,15570,15596,15345,15769,15576,15645,15678,15514,15493,15635,15512,15601,15540,15772,15778,15623,15537,15512,15378,15547,15457,15614,15537,15469,15642,15490,15534,15460,15422,15717,15450,15710,15281,15524,15588,15645,15730,15815,15520,15499,15450,15468,15562,15697,15824,15657,15395,15614,15638,15620,15659,15432,15527,15620,15465,15603,15519,15706,15594,15673,15715,15534,15730,15428,15589,15476,15696,15658,15644,15607,15789,15445,15633,15395,15800,15660,15446,15656,
E10,14769,14760,14495,14373,14581,14345,14241,14413,14305,14372,14286,14416,14205,14650,14276,14342,14545,14603,14334,14597,14630,14571,14378,14324,14610,14490,14714,14985,14827,15078,15027,14905,15047,15255,15451,15414,15295,15084,15368,15044,15188,15111,15218,15315,15301,15587,15195,15232,15134,15365,15461,15303,15237,15217,15251,15396,15197,15357,15105,15321,15225,15357,15288,15090,15446,15308,15185,15429,15202,15118,15609,15186,15269,15257,15255,15214,15250,15526,15408,15149,15037,15211,15013,15170,15147,15268,14932,15220,15164,15364,15597,15450,15467,15252,15467,15445,15499,15024,15065,15428,15310,15179,15395,15568,15487,15510,15440,15286,15435,15192,15276,15258,15552,15337,15516,15472,15473,15295,15369,15168,15329,15433,15353,15311,15316,15203,15183,15338,15221,15456,
E11,14856,14487,14434,14338,14158,14254,14336,14055,14306,14502,14083,14097,14229,14284,14220,14382,14214,14415,14149,14419,14452,14407,14595,14601,14722,14596,14697,14853,14923,15132,14938,15091,15287,15296,15147,15092,15153,15236,15221,15031,15202,15106,15313,15185,15116,15501,15260,15200,15275,15470,15289,15152,15248,15300,15287,15210,15090,15454,15181,15313,15278,15104,15343,15208,15333,15478,15380,15296,15284,15370,15047,15361,15081,15280,15147,15107,15268,15162,15312,15340,15472,15188,15316,15254,15162,15067,15165,15086,15176,15461,15284,14961,15147,15135,15016,15093,15088,15088,15361,15094,15148,15107,15169,15278,15291,15467,15130,14947,15103,15299,15422,15291,15189,15334,15163,15146,15374,15226,15259,15169,15374,15220,15141,15409,15500,15288,15310,15481,15388,14977,
F02,14967,14453,14637,14220,14200,14205,14205,14035,14387,13914,14238,14210,14024,14366,14207,14126,14176,14280,14197,14122,14320,14267,14146,14241,14443,14353,14541,14424,14513,14853,14601,14437,14795,14767,14948,15047,15143,15170,15088,15024,15037,14879,14933,14908,15014,15053,15252,14823,14993,15169,15066,15025,15026,15214,15417,14993,14979,15231,15149,15164,14896,15352,15039,15056,15095,15376,14961,15115,15065,15224,15050,15044,15056,15194,15171,15379,15287,15090,15042,15196,15157,14775,15168,14996,15157,15248,15255,15095,15188,15073,15256,15300,15057,15137,15008,15061,15417,15164,15342,15257,15118,15223,15084,15049,15032,14963,15164,15018,15110,15093,15083,15342,15133,15061,15077,15272,14996,15067,15284,15216,15132,15320,15097,15209,15351,15078,15415,15313,15117,15337,
F03,14584,14534,14146,14377,14301,14042,14200,14264,14200,13945,13955,14317,14018,14142,14250,14310,14474,14430,14529,14758,15074,14910,15226,15474,15578,15733,16381,16877,17431,17950,18818,19483,21020,22098,23417,24917,26337,24214,21769,22327,22875,23263,23310,23531,23343,24025,23944,23845,24098,24233,24448,24522,24531,24493,24365,24544,24505,24314,24587,24429,24515,24219,24447,24401,24570,24474,24656,24424,24693,25110,24714,24624,24916,24271,24473,24492,24302,24529,24515,24080,24278,24239,24210,23952,24121,23981,24268,24426,24390,24467,24587,24246,23944,24691,24586,24280,24191,24275,23994,24155,24090,23811,24046,24375,24325,24065,24292,24242,24228,24528,24456,24033,24498,24259,24569,23755,24162,24261,23995,24023,23883,24058,24176,24124,23899,24139,24071,24199,23952,23687,
F04,14834,14517,14335,14453,14004,14150,14206,14081,14224,14195,14056,14174,13956,14277,14235,14019,14237,14277,14192,14311,14161,14305,14375,14452,14381,14337,14485,14484,14476,14626,14928,14647,14851,14889,14900,14762,15122,15150,15073,14910,15152,14913,15013,15181,15125,15055,14984,14916,14871,15091,14942,14838,14848,15061,15138,15344,15250,15028,14922,15085,15014,15035,15033,15026,15049,14949,15041,14875,15226,14953,15018,15091,15045,15125,14966,14825,15240,15368,15027,14854,15100,15099,15113,14882,14948,14985,15028,15212,15075,15053,15387,15184,15113,15114,14957,15232,15023,15138,15227,15358,15165,15028,15103,15074,15061,15042,15230,15269,15018,15239,15398,15009,15175,14987,15114,15189,15136,14894,15000,15255,15294,15329,14980,15150,15084,14994,15042,14948,15063,15216,
F05,14858,14953,14754,14389,14456,14576,14424,14421,14394,14267,14535,14494,14581,14600,14653,14597,14729,14541,14816,15092,15217,15092,15569,15775,16043,16303,16686,16968,17371,18400,19059,20365,21604,22458,23878,25528,26416,24711,22495,22812,23576,23577,23798,23974,23999,24490,24319,24539,24985,24502,25088,25073,24926,24796,24973,25070,25176,25098,25174,25440,25083,24894,25024,25424,25207,25495,25537,25553,25410,25296,25214,25137,25189,25440,25064,24955,25065,25067,25040,25119,25368,24573,24746,24976,24792,24883,24925,25110,25264,25223,25463,24907,24862,25107,25117,24996,25122,24642,25115,25047,24606,24957,24914,25063,24887,25059,24926,24813,25422,24914,25251,25074,25247,25102,25105,25055,24983,25027,25087,24956,24680,24760,24757,24853,24836,24801,25075,25017,24680,24938,
F06,15004,14444,14580,14540,14314,14147,14181,14276,14279,14439,14236,14488,14104,14314,14163,14384,14187,14162,14358,14179,14498,14212,14311,14253,14309,14427,14361,14339,14532,14241,14214,14093,14258,14084,14075,13916,14185,13994,14183,14232,14326,13960,14265,14282,14218,14140,14065,14147,14053,14146,14239,14042,13992,13957,14130,14167,14126,14051,13940,13970,14035,13763,14073,14076,14035,13855,13941,14031,13810,13851,13970,13949,14082,14093,14118,13985,14132,14090,13777,13923,13966,13969,14041,14079,13923,14047,13950,14124,14005,13989,14126,14097,13841,13999,13882,14065,14082,14091,14221,13914,14223,14277,13999,14068,13940,14026,13805,13888,13925,14087,13983,13970,13907,14085,13861,14033,13956,13711,13979,13931,13971,13822,14058,14108,13907,13910,13912,14107,13758,13895,
F07,15275,14926,14630,14763,14459,14653,14332,14566,14538,14434,14563,14501,14371,14521,14244,14561,14563,14241,14367,14529,14149,14489,14241,14450,14273,14461,14309,14347,14355,14331,14359,14289,14373,14211,14347,14409,14380,14346,14108,14467,14219,14122,14287,14393,14363,14208,14124,14183,14323,14389,14220,14195,14185,14204,14196,14251,14316,14156,13902,14149,14574,14247,14069,14227,14327,14133,14198,13957,14425,14049,14077,14245,14080,13984,14236,14267,14119,13996,14271,14225,14087,14138,14128,14282,14267,14222,14113,14195,14090,14154,14223,14129,14228,14055,14179,14353,14059,14054,14341,14234,14076,14120,14184,14121,14094,13940,14005,14033,13947,14129,14140,14159,14005,13986,14091,13987,14072,14051,14157,14059,14047,13977,14154,14237,13986,14160,13840,13991,13976,14049,
F08,14996,14534,14741,14427,14306,14171,14018,14409,14226,14444,14259,14500,14469,14433,14284,14491,14248,14264,14375,14202,14639,14372,14510,14546,14394,14622,14718,14871,14536,14952,14950,14985,15017,14988,14940,15065,15307,15345,15050,14867,15091,15133,15175,15327,15290,15399,15306,15359,15204,15415,15513,15374,15236,15249,15272,15244,15141,15103,15146,15194,15214,15257,15161,15291,15173,15348,15244,15068,14980,15324,15148,15017,15304,15555,15291,15475,15243,15077,15556,15333,15092,15418,15190,15335,15147,15380,15338,15014,15258,15365,15431,15297,15254,15376,15356,15206,15282,15173,14989,15164,15044,15086,15121,15137,15510,15340,15246,15278,15350,15427,15418,15043,15307,15373,15258,15205,15426,15127,15588,15324,15115,15386,15244,15287,15257,15213,15261,15179,15199,15370,
F09,14681,14606,14419,14350,14168,14073,13819,14061,14127,14167,14306,14217,14355,14092,14483,14245,14446,14272,14140,14311,13995,14318,14537,14175,14617,14501,14406,14421,14874,14823,15186,14879,14992,15232,14886,15198,15173,14999,14864,14812,14721,15137,15395,14939,14999,15112,15085,15027,14903,15057,15269,15093,15040,15267,15089,15182,14990,14987,14923,15111,15047,15044,15265,14924,14885,15196,14937,15207,14933,15016,15121,15093,15158,15230,15076,15167,15117,14865,15011,15164,15040,15120,14962,15157,15046,15201,14870,15026,14970,15250,15020,14991,15014,15120,15097,14962,15240,15069,15342,14829,15115,15162,15046,15041,14846,14965,14931,15185,15275,15007,15082,14937,15232,15242,15216,15215,15307,15351,15289,15380,14959,15099,15244,14933,15042,15010,14884,15073,15065,14943,
F10,14725,14375,14282,14341,14112,14211,14028,14228,14193,13997,14254,14165,14142,14365,14397,14202,14334,14279,14496,14329,14487,14194,14382,14252,14442,14544,14486,14861,14635,14678,14808,14925,15188,14962,15442,15215,15150,14981,15044,14973,15129,15017,15175,15425,15100,15262,15004,14918,15101,15057,15092,15202,15206,15380,15147,15462,14959,15212,14963,15190,15222,15451,15376,15112,15197,15040,15323,15418,15003,15181,14967,15314,15112,15097,15138,15424,15269,14861,15022,15440,15116,15225,15126,15309,15395,15287,15120,15365,15008,15262,15286,15361,15192,15248,15197,15389,15316,15157,15276,15037,15101,15138,15174,15284,15159,15471,15228,15115,14884,15257,15433,15234,15141,14907,15426,15428,15128,15101,15337,15303,15187,15127,15241,15112,15147,15286,15257,15314,15212,15303,
F11,14814,14023,14155,14154,13952,13806,13916,13863,14179,14062,13919,14039,14184,13848,14028,13942,13882,13986,14252,14033,14085,14161,14294,14265,14256,14752,14421,14736,14745,14662,14659,14643,14936,14789,14994,15114,15033,14872,14921,14869,14968,15001,14615,14792,15257,15064,14891,15125,14841,14903,14765,14926,14654,15198,15180,14829,14826,15168,15025,14915,14851,15103,14742,15199,15272,14895,15105,15016,15001,15043,14770,15071,15271,14905,14950,14930,15072,15058,14927,15071,15092,14948,14755,15131,14983,15030,15046,15148,15104,14898,15005,15139,14943,15002,15156,14902,14927,15070,15081,15093,14976,14941,15019,14960,15054,14975,14877,15140,14999,14933,14844,15199,15092,15128,14868,14784,14977,14859,14830,15146,14882,14955,15124,15190,14978,15225,15081,15077,15290,15093,
G02,14609,14282,14143,14070,13912,13850,14200,13790,13809,13995,13950,14043,13980,14079,14070,13817,14044,14242,14106,14182,14018,13944,13914,14097,14086,14151,14114,14414,14598,14540,14558,14649,14679,14798,14746,14713,14763,14689,14679,14769,14784,15085,14995,14964,14742,14656,14983,14928,14814,14770,14903,14877,15078,14864,15069,14930,14996,14922,14921,14823,14812,14962,15077,14871,14832,15047,14998,14769,15044,15049,15000,14821,14944,15103,14606,14932,15030,14822,14869,14928,15004,15130,14960,14820,14886,14801,14668,14716,14873,15132,14945,15083,14771,14919,15018,14890,15055,15055,14823,14938,15027,14974,14925,14889,15065,14826,14884,14778,14870,15037,15021,14992,15203,14802,15017,14995,14934,14936,14899,14883,15081,15091,15222,15049,15165,15103,14767,14609,14889,14715,
G03,15043,14565,14367,14359,14158,14338,14178,14196,14373,14441,14312,14390,14269,14263,14551,14426,14055,14597,14625,14772,14950,15057,15054,15558,15593,15921,15954,16324,16984,17562,18448,19281,19783,21320,22630,23811,25291,26543,23934,22318,22654,23053,23340,23615,23564,23919,24051,24326,24360,24508,24780,24440,24626,24795,24725,24631,24915,24925,25092,24848,24969,25078,24944,24885,24682,25055,25043,24832,25115,25209,24983,25143,24783,24666,25256,24962,24738,25012,25037,24693,25059,24625,24832,24433,24768,24364,24800,24765,24894,24753,25143,24831,24696,24776,25068,24742,24614,24236,24834,24653,24433,24678,24477,24982,24846,24857,25024,24921,24881,24790,24977,25096,25018,24899,24897,24548,24921,24828,24861,24709,24433,24520,24648,24380,24615,24739,24656,24517,24250,24585,
G04,14720,14436,14429,14203,13861,14199,14176,14059,14088,14120,14331,14159,14098,14287,13930,14136,14360,14087,14156,14318,14266,14256,14545,14133,14343,14490,14623,14533,14605,14861,14908,14876,14955,15201,15179,15058,15104,14744,15065,15040,15017,14875,14946,15029,15026,15013,15042,14907,15189,14937,15278,15215,14976,15104,15042,15153,14909,15060,15252,15001,15133,15400,15239,15115,15088,14911,15126,15187,15356,14931,15230,15124,15037,14892,15250,14872,15345,15261,14875,15025,15061,14946,15065,15088,14782,14957,15184,15008,15228,15113,15093,15022,15105,15102,15106,15107,15058,15185,15126,14900,15224,15156,15178,15034,15245,15148,14996,15241,14973,15176,14845,15009,15026,15140,14823,15073,15076,15199,15507,14939,15029,14992,15300,15185,15219,14843,14972,15158,15113,15307,
G05,15052,14690,14516,14468,14390,14379,14148,14330,14276,14472,14465,14500,14383,14629,14624,14269,14527,14465,14826,15020,15003,15221,15549,15534,15910,15940,16484,17099,17246,18259,19062,19935,20857,22137,23438,24967,25961,24624,22390,22751,23024,23223,23754,23815,23629,24190,24371,24338,24343,24349,24702,24918,25072,24854,24771,24816,24899,25028,25012,24929,24993,25140,24951,25124,25049,25281,25510,25413,25569,25323,25208,25553,25700,25118,25412,24872,25511,25162,25460,25570,25505,25249,25065,25231,25188,24930,25173,25570,25360,25722,25551,25238,25453,25753,25445,25165,25251,25004,25286,25175,25239,25388,25660,25718,25383,25857,25743,25738,25776,25376,25650,25780,25638,25917,25921,25224,25726,25590,25888,25537,25162,25368,25305,25126,25307,25874,25621,25770,25351,25601,
G06,15491,14908,14775,14372,14407,14559,14535,14439,14662,14810,14629,14536,14592,14582,14576,14313,14520,14660,14492,14458,14599,14471,14523,14304,14629,14419,14277,14382,14522,14413,14216,14065,14247,14573,14313,14185,14311,14368,14338,14148,14114,14140,14209,14158,14553,14526,14264,14119,14207,14244,14275,14075,14419,14383,14128,14333,14296,14102,13968,14180,13950,14435,14094,14559,14168,14347,14419,14225,14337,14159,13979,14199,14283,14002,14025,14263,14336,14330,13969,14273,14212,14161,14198,14148,13928,14164,14327,14156,14170,14133,14209,14127,14156,14224,14122,14239,14173,14189,13912,14111,14061,14293,14335,14343,14124,14044,13882,14102,14038,13963,14041,14172,13931,13945,14348,13959,14111,13982,14113,14162,14215,14156,14147,14198,14134,13959,14176,14175,14087,14154,
G07,14937,14623,14347,14242,14483,14565,14229,14007,14274,14017,14079,14488,14519,14405,14225,14003,14248,14195,14198,14113,14225,14224,14243,14181,14141,14354,14129,13799,14274,14179,14236,14118,14372,14040,14148,14263,14337,14035,14035,14137,14049,13713,13782,14007,14251,14191,14197,13940,14183,14074,13867,14277,14016,14118,14055,13860,14272,14007,14044,14173,13914,14015,13912,14126,13930,13963,14003,13999,14082,13900,14013,14152,13880,14128,14013,13905,14115,14019,14236,13780,13891,13909,13815,14027,14207,13876,13934,13994,13993,13860,14009,13944,14131,13933,13918,14112,13903,13993,13990,14100,13966,13937,13815,13723,14101,14055,14086,14136,13927,14193,13702,13714,13965,14027,13941,13882,13824,13764,13744,13939,14022,13728,13882,13875,13755,13846,13939,13868,13822,14066,
G08,14879,14354,14517,14162,14344,14231,14290,14135,14272,13857,14158,14304,14122,14173,14298,14176,14332,14445,14327,14228,14275,14495,14236,14083,14523,14469,14372,14503,14483,14741,14535,14858,14897,14964,14938,14751,15129,14997,15218,15140,15107,15199,15180,15102,15165,15107,15246,15038,15131,14966,15090,15116,15065,15104,15208,15259,15085,15213,15215,15248,15460,15030,15102,15099,15279,15564,15144,15052,15110,15291,15149,15000,15333,14715,15292,15390,14958,15135,15279,15107,15030,15134,15117,15215,15256,15241,15048,15516,15179,15127,15376,15064,15298,15131,15206,15124,15170,15187,15098,15219,15071,15317,15080,15119,15138,15041,14964,15064,15280,15082,15297,15113,15213,15232,15304,15159,15291,15138,15384,15251,15441,15080,15461,15075,15274,15283,15253,15316,15219,15330,
G09,14634,14383,14513,14126,14159,14329,14214,14035,14135,14218,14277,14192,14399,14359,14243,14002,14222,14449,14401,14322,14376,14328,14392,14382,14464,14554,14680,14679,14678,14965,14851,15083,14944,15009,15061,15072,15087,15147,15023,14757,15153,14932,14900,15022,15302,15240,15199,15111,14936,15301,15131,15024,15145,15006,15187,15070,15103,14932,15070,15211,14891,15108,15047,15043,14936,15150,15261,15229,15170,14874,15353,15278,15065,15092,15215,15150,14764,15074,15302,15268,15318,15155,15207,15136,15270,15196,15328,14804,15146,15311,15178,15296,14813,14966,15086,14784,14989,15059,15226,15267,14846,15058,15052,14904,14830,15165,15019,15130,15098,15186,15106,14949,15324,15136,15256,15054,15090,15239,15098,14953,15350,15327,15347,15168,15232,15189,15254,15127,15106,15141,
G10,14548,14425,14155,14050,14109,14230,13930,13881,14225,14047,14077,14008,14037,14053,14202,13818,14127,14253,14081,14043,14241,14100,14179,14255,14315,14266,14798,14585,14732,14683,14823,14751,14746,14901,14881,14836,14761,14838,14754,14865,14995,14919,15034,15069,14663,14933,14905,15204,14906,14883,14831,15081,15101,15407,14909,15013,15052,15065,14950,14911,14763,15257,14896,15101,14809,15029,14980,14801,14855,14902,14880,15193,15091,14958,15277,14799,15084,14885,15033,14740,15120,14846,14921,14817,15219,14881,14741,14904,14815,14933,15100,15029,14930,15023,14890,14855,14940,15128,14815,15008,14758,15019,15031,14901,14847,15015,14902,14758,15057,15072,14976,14979,14992,14926,15053,15002,14888,14788,15160,15052,14762,14831,15059,15026,14862,15057,14866,14973,14975,15071,
G11,14525,14309,13983,14114,13898,13979,14225,14086,13926,14056,14069,14285,14322,14373,13960,14190,14120,14009,14140,14267,14386,14264,14120,14224,14488,14421,14704,14505,14503,14560,14824,14694,15031,15005,15194,14843,15167,15046,15016,15011,14988,14990,14948,15084,15050,14830,15052,15064,14902,14942,15118,15164,14906,15018,15064,15237,15036,15037,15224,15246,14903,14890,14971,15171,15181,14930,15032,15246,15130,15067,14987,15161,15072,15085,14825,14940,15157,15086,15068,15183,14947,14999,15140,15118,15032,14951,15353,14859,14828,15062,15001,14967,15052,14832,15087,15244,14899,15240,15038,15079,15141,14939,15076,14933,15124,14868,15027,15122,15042,14934,15103,15313,15232,15103,15095,15033,15069,14953,15150,15209,14995,14968,14991,15145,15071,15211,15038,14882,15124,15011,